,Brand_name,Logo,IPR,Designation,Status,Status date,Number,Office,Nice_classification,Owner
133,BMW,,National Trademark Registration,UAE,Registered,,337200,MoE (UAE),37,بايريش موتورين ويرك أكتينجزلشافت (Germany)
134,BMW,,National Trademark Registration,UAE,Registered,,337190,MoE (UAE),4,بايريش موتورين ويرك أكتينجزلشافت (Germany)
135,BMW,,National Trademark Registration,UAE,Registered,,337195,MoE (UAE),18,بايريش موتورين ويرك أكتينجزلشافت (Germany)
136,BMW,,National Trademark Registration,UAE,Registered,,257445,MoE (UAE),4,بايريش موتورين ويرك أكتينجزلشافت (Germany)
137,BMW,,National Trademark Registration,France,Expired,,1290290,INPI (France),"1, 2, 3, 6, 10, 15, 22, 28",BABOLAT MAILLOT WITT Société Anonyme (France)
138,BMW,,National Trademark Registration,Chile,Registered,,809053,INAPI (Chile),"12, 7",BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT
139,BMW,,National Trademark Registration,Chile,Registered,,1090867,INAPI (Chile),"35, 36",BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT
140,BMW,,National Trademark Registration,Chile,Registered,,1237048,INAPI (Chile),4,Bayerische Motoren Werke Aktiengesellschaft
141,BMW,,National Trademark Registration,Chile,Registered,,1102705,INAPI (Chile),25,Bayerische Motoren Werke Aktiengesellschaft
142,BMW,,National Trademark Registration,Australia,Registered,,1811330,IPA (Australia),4,Bayerische Motoren Werke Aktiengesellschaft (Germany)
143,BMW,,National Trademark Registration,India,Registered,,324370,CGDPTM (India),12,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
144,BMW,,National Trademark Registration,India,Registered,,1488005,CGDPTM (India),36,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT. (Germany)
145,BMW,,National Trademark Registration,Iceland,Registered,,V0102850,ISIPO (Iceland),4,Bayerische Motoren Werke Aktiengesellschaft (Germany)
146,BMW,,National Trademark Registration,Iceland,Registered,,V0102985,ISIPO (Iceland),4,Bayerische Motoren Werke Aktiengesellschaft (Germany)
147,BMW,,National Trademark Registration,Iceland,Registered,,V0034480,ISIPO (Iceland),37,Bayerische Motoren Werke AG (Germany)
148,BMW,,National Trademark Registration,Costa Rica,Expired,,125676,RNPCR (Costa Rica),37,BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
149,BMW,,National Trademark Registration,Costa Rica,Registered,,294510,RNPCR (Costa Rica),"9, 12, 14, 18, 25, 28, 36, 37, 38, 39",BAYERISCHE MOTOREN WERKE AKTIENGESELLSCHAFT (Germany)
150,BMW,,National Trademark Registration,UAE,Registered,,169965,MoE (UAE),35,ش. بايريش موتورين ويرك أكتينجزلشافت (Germany)
151,BMW,,National Trademark Registration,Japan,Registered,,3124286,JPO (Japan),39,バイエリシエ・モト―レンウエルケ・アクチエンゲゼルシヤフト
152,BMW,,National Trademark Registration,Japan,Expired,,1722710,JPO (Japan),5,
153,BMW,,National Trademark Registration,Japan,Expired,,1722710,JPO (Japan),14,
154,BMW,,National Trademark Registration,Japan,Expired,,1722710,JPO (Japan),19,
155,BMW,,National Trademark Registration,Japan,Expired,,1722710,JPO (Japan),33,
156,BMW,,National Trademark Application,Korea (Republic of),Ended,,4020120070505,KIPO (Korea (Republic of)),10,주식회사 엘루시스 (Korea (Republic of))
157,BMW,,National Trademark Registration,Japan,Registered,,2014-361640,JPO (Japan),,
158,BMW,,National Trademark Registration,Japan,Registered,,5611244,JPO (Japan),35,バイエリシエ・モトーレンウエルケ・アクチエンゲゼルシヤフト
159,BMW,,National Trademark Registration,Japan,Registered,,1661587,JPO (Japan),"6, 8, 14, 18, 20, 13",バイエリシエ モト-レンウエルケ アクチエンゲゼルシヤフト
160,BMW,,National Trademark Registration,Japan,Registered,,1751217,JPO (Japan),"9, 14, 23",バイエリシエ モト-レンウエルケ アクチエン ゲゼルシヤフト
161,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001168000000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
162,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001124540000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
163,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001162650000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
164,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001156930000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
165,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4102195550000,KIPO (Korea (Republic of)),35,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
166,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001156930000,KIPO (Korea (Republic of)),"4, 34, 11",바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
167,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001147950000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
168,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4101997110000,KIPO (Korea (Republic of)),"41, 44, 41",바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
169,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001140230000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
170,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4001156930000,KIPO (Korea (Republic of)),,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
171,BMW,,National Trademark Registration,Korea (Republic of),Registered,,4102147380000,KIPO (Korea (Republic of)),43,바이에리셰 모토렌 베르케 악티엔게젤샤프트 (Germany)
